Campaign_ID,Campaign_Name,Date,Marketing_Channel,Campaign_Type,Region,Impressions,Clicks,Leads,Conversions,Ad_Spend,Revenue,Customers,Campaign_Duration,Device_Type
CMP_DSP_01,DSP_Programmatic_Banner,2025-01-01,Display Ads,Awareness,Asia-Pacific,44918,792,392,27,1930.4,4806.64,12,17,Mobile
CMP_EM_02,EM_Abandoned_Cart_Nurture,2025-01-01,Email Marketing,Conversion,North America,21991,1882,843,410,924.67,112595.42,290,23,Tablet
CMP_FB_02,FB_Lookalike_Prospecting,2025-01-01,Facebook Ads,Awareness,Asia-Pacific,64111,1921,1052,163,6055.17,31887.43,92,12,Tablet
CMP_GGL_01,Google_Search_Brand,2025-01-01,Google Ads,Conversion,Latin America,40970,1568,639,178,6488.15,62078.16,143,14,Tablet
CMP_GGL_01,Google_Search_Brand,2025-01-01,Google Ads,Conversion,Middle East,42185,2503,648,298,7323.06,67348.93,249,17,Tablet
CMP_GGL_01,Google_Search_Brand,2025-01-01,Google Ads,Conversion,Europe,39888,2039,607,211,7324.72,60790.35,151,13,Desktop
CMP_GGL_01,Google_Search_Brand,2025-01-01,Google Ads,Conversion,Latin America,38458,2038,1108,210,8793.31,73457.51,132,23,Desktop
CMP_LI_01,LI_B2B_Executive_Leads,2025-01-01,LinkedIn Ads,Lead Generation,North America,6365,146,79,18,1290.88,8712.98,10,18,Mobile
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-01,LinkedIn Ads,Lead Generation,Middle East,6639,213,89,26,2286.33,14066.88,12,26,Desktop
CMP_SEO_02,SEO_High_Intent_Landing,2025-01-01,SEO,Conversion,Latin America,63042,3993,2058,541,1437.31,207168.09,393,21,Tablet
CMP_DSP_01,DSP_Programmatic_Banner,2025-01-02,Display Ads,Awareness,Middle East,77690,459,187,9,877.09,1638.77,3,12,Mobile
CMP_DSP_02,DSP_Dynamic_Retargeting,2025-01-02,Display Ads,Retargeting,North America,83723,506,169,10,941.03,1726.4,4,24,Desktop
CMP_DSP_02,DSP_Dynamic_Retargeting,2025-01-02,Display Ads,Retargeting,Middle East,44091,626,220,16,1938.13,2242.28,6,7,Desktop
CMP_EM_01,EM_Weekly_Newsletter,2025-01-02,Email Marketing,Product Promotion,North America,14212,1528,455,243,1128.09,61289.04,180,15,Desktop
CMP_GGL_01,Google_Search_Brand,2025-01-02,Google Ads,Conversion,Middle East,13398,812,329,106,2554.55,28926.75,66,27,Mobile
CMP_IG_02,IG_Stories_Conversion,2025-01-02,Instagram Ads,Conversion,Latin America,42710,1654,628,111,3713.59,26778.07,72,19,Desktop
CMP_SEO_01,SEO_Organic_Blog_Content,2025-01-02,SEO,Awareness,Latin America,48731,3547,1675,482,1141.31,179802.77,387,15,Desktop
CMP_SEO_02,SEO_High_Intent_Landing,2025-01-02,SEO,Conversion,North America,56681,2919,879,290,968.97,85379.52,222,11,Mobile
CMP_YT_01,YT_Video_Awareness_V1,2025-01-02,YouTube Ads,Awareness,North America,29024,630,178,37,1438.79,7489.84,18,12,Mobile
CMP_FB_02,FB_Lookalike_Prospecting,2025-01-03,Facebook Ads,Awareness,Middle East,51280,1603,655,174,3785.86,37629.06,110,22,Desktop
CMP_IG_01,IG_Influencer_Promos,2025-01-03,Instagram Ads,Product Promotion,Asia-Pacific,45253,1732,942,127,5194.73,24000.81,87,24,Desktop
CMP_IG_02,IG_Stories_Conversion,2025-01-03,Instagram Ads,Conversion,Europe,42004,1952,571,131,6375.8,28649.41,75,17,Desktop
CMP_IG_02,IG_Stories_Conversion,2025-01-03,Instagram Ads,Conversion,Asia-Pacific,39153,1817,507,132,4119.33,31551.41,82,7,Mobile
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-03,LinkedIn Ads,Lead Generation,Middle East,5887,160,77,12,1530.97,5458.16,4,17,Mobile
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-03,LinkedIn Ads,Lead Generation,Middle East,8273,201,100,22,1896.22,15924.7,12,18,Mobile
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-03,LinkedIn Ads,Lead Generation,Middle East,15748,274,88,26,2448.33,14926.52,14,9,Desktop
CMP_EM_01,EM_Weekly_Newsletter,2025-01-04,Email Marketing,Product Promotion,Latin America,10293,1510,456,330,492.34,121733.51,239,22,Tablet
CMP_FB_01,FB_Retargeting_Q1,2025-01-04,Facebook Ads,Retargeting,Latin America,49932,1466,398,118,4299.69,22240.96,68,8,Mobile
CMP_GGL_01,Google_Search_Brand,2025-01-04,Google Ads,Conversion,Latin America,29499,1533,743,178,5851.84,57495.41,124,24,Mobile
CMP_GGL_01,Google_Search_Brand,2025-01-04,Google Ads,Conversion,Middle East,27716,1104,591,117,4175.5,29260.1,74,30,Mobile
CMP_LI_01,LI_B2B_Executive_Leads,2025-01-04,LinkedIn Ads,Lead Generation,Asia-Pacific,10451,362,197,33,3637.11,21647.1,14,20,Desktop
CMP_LI_01,LI_B2B_Executive_Leads,2025-01-04,LinkedIn Ads,Lead Generation,Asia-Pacific,10353,241,73,28,1875.07,19080.68,17,24,Tablet
CMP_LI_01,LI_B2B_Executive_Leads,2025-01-04,LinkedIn Ads,Lead Generation,Latin America,15998,338,147,40,3073.39,23598.54,20,28,Mobile
CMP_LI_02,LI_Whitepaper_Downloads,2025-01-04,LinkedIn Ads,Lead Generation,North America,13598,250,102,19,2234.14,9725.61,10,16,Mobile
CMP_YT_01,YT_Video_Awareness_V1,2025-01-04,YouTube Ads,Awareness,Middle East,55860,657,327,21,1252.66,5016.58,12,25,Tablet
CMP_DSP_01,DSP_Programmatic_Banner,2025-01-05,Display Ads,Awareness,Latin America,60653,559,216,20,2072.96,3689.95,10,14,Desktop
