Campaign_ID,Campaign_Name,Date,Marketing_Channel,Campaign_Type,Region,Impressions,Clicks,Leads,Conversions,Ad_Spend,Revenue,Customers,Campaign_Duration,Device_Type
CMP_LI_01,LI_B2B_Executive_Leads,2025-02-06,linkedin ads,Lead Generation,Latin America,9893,324,89.0,35,1958.73,19229.69,16,23.0,Tablet
CMP_LI_01,LI_B2B_Executive_Leads,2025-07-22,linkedin ads,Lead Generation,Latin America,10538,197,85.0,20,2085.03,14351.94,10,17.0,Desktop
CMP_LI_01,LI_B2B_Executive_Leads,2025/08/05,LinkedIn Ads,Lead Generation,Europe,19266,366,171.0,28,3701.29,17598.4,13,28.0,Desktop
CMP_SEO_01,SEO_Organic_Blog_Content,2025-07-27,seo,Awareness,Asia-Pacific,36633,2034,810.0,216,506.92,86354.24,171,20.0,Tablet
CMP_GGL_01,Google_Search_Brand,2025-10-24,Google Ads ,Conversion,Asia-Pacific,19738,955,506.0,95,3312.59,30321.48,65,22.0,Tablet
CMP_IG_01,IG_Influencer_Promos,2025-12-07,Instagram_Ads,Product Promotion,Latin America,44792,2194,782.0,152,4847.23,36083.58,97,16.0,Mobile
CMP_LI_02,LI_Whitepaper_Downloads,2025-05-13,linkedin ads,Lead Generation,Latin America,15702,402,208.0,32,3725.76,22286.64,20,25.0,Desktop
CMP_IG_02,IG_Stories_Conversion,2025-12-07,instagram ads,Conversion,Asia-Pacific,45324,2373,909.0,129,4542.94,30947.5,70,12.0,Desktop
CMP_IG_01,IG_Influencer_Promos,2025-07-21,instagram ads,Product Promotion,Middle East,28011,1448,394.0,77,3184.15,15145.83,41,9.0,Tablet
CMP_SEO_02,SEO_High_Intent_Landing,2025-11-07,seo,Conversion,North America,41943,2556,1213.0,361,676.14,121137.68,299,25.0,Mobile
CMP_IG_01,IG_Influencer_Promos,2025-12-22,instagram ads,Product Promotion,Asia-Pacific,23641,1279,540.0,82,4408.5,18818.65,49,17.0,Tablet
CMP_GGL_01,Google_Search_Brand,2025-11-04,GOOGLE ADS,Conversion,North America,12781,752,205.0,91,2941.02,26128.84,76,10.0,Mobile
CMP_SEO_02,SEO_High_Intent_Landing,2025-03-24,seo,Conversion,Latin America,19349,1046,270.0,153,461.13,57439.8,113,23.0,Desktop
CMP_FB_01,FB_Retargeting_Q1,2025/05/03,facebook ads,Retargeting,Latin America,43474,1212,,76,3079.58,18742.2,51,9.0,
CMP_EM_02,EM_Abandoned_Cart_Nurture,2025-01-16,Email Marketing,Conversion,Europe,28529,3349,1623.0,604,1282.62,141171.84,436,19.0,Mobile
CMP_FB_01,FB_Retargeting_Q1,2025-01-25,Facebook Ads,Retargeting,Latin America,39214,1148,475.0,90,3033.45,20732.22,49,12.0,Tablet
CMP_SEO_01,SEO_Organic_Blog_Content,2025-05-20,seo,Awareness,North America,47152,2316,843.0,269,975.53,75743.79,206,21.0,Tablet
